"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"607","12090001","Harmerz Pionierstraße","","50.520485","9.654617","2001","","0","","",""
"608","12090002","Harmerz Pionierstraße","","50.52042","9.654858","2001","","0","","",""
"609","12018501","Harmerz Ulanenstraße","","50.516175","9.653055","2001","","0","","",""
"610","12018502","Harmerz Ulanenstraße","","50.515973","9.652885","2001","","0","","",""
"611","12097901","Haselstein Großenbacher Straße","","50.68158","9.853412","1639","","0","","",""
"612","12097902","Haselstein Großenbacher Straße","","50.681457","9.853373","1639","","0","","",""
"613","12073601","Hattenhof Büchenberger Straße","","50.463772","9.677118","1950","","0","","",""
"614","12073602","Hattenhof Büchenberger Straße","","50.463693","9.67712","1950","","0","","",""
"615","12073501","Hattenhof Bürgerhaus","","50.46909","9.673685","1950","","0","","",""
"616","12073502","Hattenhof Bürgerhaus","","50.468578","9.673852","1950","","0","","",""
"617","12064101","Hattenhof Nußbach Kreuz","","50.46293","9.668722","1950","","0","","",""
"618","12064102","Hattenhof Nußbach Kreuz","","50.462852","9.668543","1950","","0","","",""
"619","12096301","Hattenhof Schule","","50.466155","9.677612","1950","","0","","",""
"620","12096302","Hattenhof Schule","","50.466078","9.677485","1950","","0","","",""
"621","12064001","Hattenhof Ziegelrain","","50.463887","9.675107","1950","","0","","",""
"622","12064002","Hattenhof Ziegelrain","","50.46411","9.675107","1950","","0","","",""
"623","12093601","Hauswurz Brandloser Straße","","50.464703","9.475895","1942","","0","","",""
"624","12093602","Hauswurz Brandloser Straße","","50.464768","9.475943","1942","","0","","",""
"625","12724201","Hauswurz Forsthaus","","50.461692","9.48836","1942","","0","","",""
"626","12724202","Hauswurz Forsthaus","","50.46171","9.488457","1942","","0","","",""
"627","12724301","Hauswurz Taufsteinstraße","","50.462073","9.4773","1942","","0","","",""
"628","12010101","Hechelmannskirchen","","50.706947","9.642278","1613","","0","","",""
"629","12010102","Hechelmannskirchen","","50.707087","9.641987","1613","","0","","",""
"630","12226901","Herdathurm","","50.622178","10.024857","1710","","0","","",""
"631","12226902","Herdathurm","","50.622218","10.02479","1710","","0","","",""
"632","12047201","Heubach Rathaus","","50.384193","9.718262","1935","","0","","",""
"633","12047202","Heubach Rathaus","","50.384232","9.718518","1935","","0","","",""
"634","12084801","Heubach Sägewerk","","50.382685","9.711708","1935","","0","","",""
"635","12084802","Heubach Sägewerk","","50.382953","9.711928","1935","","0","","",""
"636","12045501","Hilders Feriengebiet","","50.576205","10.015477","1740","","0","","",""
"637","12045502","Hilders Feriengebiet","","50.576532","10.015378","1740","","0","","",""
"638","12225001","Hilders Konrad-Zuse-Schule","","50.574167","10.000895","1740","","0","","",""
"639","12027201","Hilders Marktstraße","","50.571927","10.00163","1740","","0","","",""
"640","12027202","Hilders Marktstraße","","50.571928","10.002385","1740","","0","","",""
"641","12094001","Hilders Milseburgradweg","","50.571047","9.997407","1740","","0","","",""
"642","12225901","Hilders MPS","","50.577093","9.997077","1740","","0","","",""
"643","12225902","Hilders MPS","","50.576968","9.997123","1740","","0","","",""
"644","12225903","Hilders MPS","","50.576813","9.99712","1740","","0","","",""
"645","12225904","Hilders MPS","","50.576758","9.997142","1740","","0","","",""
"646","12225906","Hilders MPS","","50.575303","9.998173","1740","","0","","",""
"647","10809401","Hilders ZOB","","50.570323748","10.001607388","1740","","0","","",""
"648","12040701","Hainzell Brücke","","50.543019807","9.490787387","2101","","0","","",""
"649","12040702","Hainzell Brücke","","50.542957592","9.490862489","2101","","0","","",""
"650","12056001","Hainzell Ortsmitte","","50.539927","9.492025","2101","","0","","",""
"651","12056002","Hainzell Ortsmitte","","50.54001","9.492297","2101","","0","","",""
"652","12229601","Hofaschenbach Ortsmitte","","50.637497","9.846212","1648","","0","","",""
"653","12229602","Hofaschenbach Ortsmitte","","50.637517","9.846207","1648","","0","","",""
"654","12022001","Hofbieber Egelmeser Straße","","50.589662","9.837712","2083","","0","","",""
"655","12022002","Hofbieber Egelmeser Straße","","50.589862","9.83773","2083","","0","","",""
"656","12095201","Hofaschenbach Hünfelder Straße","","50.636807","9.843307","1648","","0","","",""
"657","12095202","Hofaschenbach Hünfelder Straße","","50.636923","9.843007","1648","","0","","",""
"658","12238401","Hofbieber Langenbieberer Straße","","50.583368","9.838675","2083","","0","","",""
